State FIPS code,Date,All merchant category codes spending,Accommodation and food service (ACF) spending,"Arts, entertainment, and recreation (AER)  spending",General merchandise stores (GEN) and apparel and accessories (AAP) spending,Grocery and food store (GRF)  spending,Health care and social assistance (HCS) spending ,Transportation and warehousing (TWS)  spending,"Retail spending, including grocery  (AAP, CEC, GEN, GRF, HIC, ETC, SGH) ","Retail spending, excluding grocery ((AAP, CEC, GEN, HIC, ETC, SGH) "
900,1/13/2020,-1.76,-5.43,-13.8,-5.23,-2.76,0.896,0.467,-3.25,-3.66
2500,1/13/2020,-0.216,-2.46,-14.2,-2.26,0.312,3.72,-1.92,0.282,0.166
3400,1/13/2020,-0.562,-3.87,-11.6,0.646,-0.618,4.83,1.21,0.226,1.09
3600,1/13/2020,-0.376,-3.69,-13.9,-1.45,-0.882,7.86,-0.074,-0.542,-0.247
4400,1/13/2020,-1.84,-15.1,-21.1,-5.95,-0.105,1.23,-30.9,-4.52,-9.58
900,1/14/2020,0.631,-2.73,-8.07,-2.5,0.724,0.326,5.62,-0.206,-0.991
2500,1/14/2020,1.24,-2.35,-10.1,-0.581,3.83,4.86,-0.279,2.02,-0.309
3400,1/14/2020,0.885,-3.54,-9.33,0.152,0.371,3.36,3.2,0.337,0.345
3600,1/14/2020,0.425,-2.36,-10.4,-0.228,0.754,10.8,-1.91,0.413,-0.0001
4400,1/14/2020,0.0842,-12.1,-33.9,-6.86,4.16,-2.64,-25,-2.74,-10.7
900,1/15/2020,1.48,-3.42,-0.54,-1.1,1.64,3.19,2.32,0.262,-0.9
2500,1/15/2020,2.13,-1.94,-8.31,1.24,6.19,11.4,0.494,3.79,0.675
3400,1/15/2020,1.16,-3.4,-5.42,-1.16,0.454,3.84,5.3,-0.396,-1.19
3600,1/15/2020,1.34,-1.91,-3.98,0.254,2.54,10.2,-2.54,1.59,0.544
4400,1/15/2020,1.85,-9.48,-25.5,-2.43,5.23,-6.51,-27.5,0.985,-4.08
900,1/16/2020,1.15,-3.06,-4.35,-1.35,2.51,1.58,6,0.375,-1.41
2500,1/16/2020,2.02,-0.707,-8.45,2.01,6.54,9.4,-1.77,3.88,0.367
3400,1/16/2020,0.388,-3.13,-4.17,-2.54,0.685,-3.91,2.91,-0.732,-2.07
3600,1/16/2020,0.985,-1.47,-5.15,0.33,3.34,7.06,-0.0408,1.93,0.386
4400,1/16/2020,-2.57,-4.56,-9.08,-7.17,5.29,-10.4,-9.54,0.608,-4.96
900,1/17/2020,0.96,-2.55,-1.24,-2.21,1.93,0.195,10,0.574,-0.601
2500,1/17/2020,0.23,-0.953,-7.43,-2.09,4.31,8.02,0.308,1.53,-2.2
3400,1/17/2020,-1.46,-3.16,-3.2,-3.96,-1.05,-1.14,1.56,-2.19,-3.27
3600,1/17/2020,-0.33,-1.02,-1.29,-2.99,0.628,0.922,1.51,-0.497,-1.73
4400,1/17/2020,-2.2,-1.42,-8.93,-1.85,9.18,-14.3,5.83,4.86,-0.318
900,1/18/2020,0.756,-4.34,-1.93,-4.38,3.47,1.93,12.3,0.757,-1.49
2500,1/18/2020,-0.113,-2.49,-7.24,-2.38,4.32,0.084,-1.64,1.28,-2.8
3400,1/18/2020,-0.848,-3.49,0.135,-4.84,-0.667,-1.23,2.77,-2.6,-4.48
3600,1/18/2020,-0.818,-2.45,0.168,-4.94,-1.07,-1.18,5.09,-2.81,-4.63
4400,1/18/2020,3.04,-4.26,-3.92,-1.07,6.09,-18.1,13.2,3.18,-0.451
900,1/19/2020,0.908,-1.37,3.26,-4.76,-0.528,0.76,6.23,-1.51,-2.25
2500,1/19/2020,0.305,-0.323,4.47,-0.748,-0.0787,1.47,4.07,-0.569,-1.15
3400,1/19/2020,0.464,-0.0305,8.08,-3.11,-0.162,-1.65,3.22,-1.69,-3.11
3600,1/19/2020,0.938,0.831,4.41,-1.87,-0.332,-1.14,6.74,-0.997,-1.62
4400,1/19/2020,-0.226,-0.189,-4.86,2.26,0.264,-22,23.4,2.31,4.46
900,1/20/2020,7.7,8.48,5.02,7.82,11.6,1.47,3.12,10.8,10.1
2500,1/20/2020,7.13,6.33,11.9,9.9,11.6,0.812,15,10.2,8.01
3400,1/20/2020,3.32,3.44,9.79,1.28,5.91,3.13,3.61,3.44,1.08
3600,1/20/2020,5.96,5.9,6.63,5.78,8.71,1.64,11.2,7.27,5.65
4400,1/20/2020,4.44,10.2,36.6,13.5,6.06,-20,45.1,9.92,14.4
900,1/21/2020,11.4,11.6,12.4,7.37,13.8,7.59,4.85,9.82,6.59
2500,1/21/2020,6.15,4.09,6.05,3.34,6.24,10.4,8.6,5.13,3.39
3400,1/21/2020,3.98,1.46,9.22,-1.4,3.8,3.23,2.15,1.06,-1.62
3600,1/21/2020,6.46,3.78,4.44,1.79,6.15,0.419,17,4.54,2.73
4400,1/21/2020,4.85,0.27,43.3,6.09,2.2,-18.1,46.7,4.78,7.58
900,1/22/2020,5.85,5.01,4.87,3.06,5.25,0.334,7.65,5.35,5.34
2500,1/22/2020,3.98,4.76,5.68,2.07,1.51,6.91,6.18,2,2.29
3400,1/22/2020,2.98,2.37,10.2,1.37,2.47,-2.05,1.14,1.7,0.886
3600,1/22/2020,3.83,4.28,-0.0287,3.15,2.65,-1.62,11.7,2.82,2.81
4400,1/22/2020,-0.572,0.0245,-9.52,5.75,-1.29,-16.1,9.98,0.118,1.48
900,1/23/2020,4.53,5.94,9.72,1.31,3.85,5.61,10.4,2.94,2.08
2500,1/23/2020,3.36,4.62,0.572,2.58,-2.01,0.406,9.49,-0.665,0.673
3400,1/23/2020,2.85,2.72,12.7,1.12,1.42,-1.77,1.78,0.983,0.429
3600,1/23/2020,2.71,3.12,4.92,1.79,0.38,-1.78,8.42,0.932,1.28
4400,1/23/2020,1.53,9.38,-3.31,-2.31,-3.77,-14.1,-9.62,-1.45,1.08
900,1/24/2020,4.5,8.07,3.17,3.1,6.55,5.24,5.93,4.48,2.73
2500,1/24/2020,4.2,4.86,2.47,6.98,-0.554,-0.449,4.21,0.988,2.49
3400,1/24/2020,4.79,3.5,11.7,3.57,5.71,-2.41,0.898,3.94,2.23
3600,1/24/2020,3.16,3.32,4.63,5.55,3.26,-2.26,1.82,2.97,2.49
4400,1/24/2020,1.94,14.7,-1.86,4.88,-0.89,-12.1,-24.4,3.33,8.18
900,1/25/2020,1.84,8.94,0.636,2.47,-0.558,1.68,3.62,-0.105,0.175
2500,1/25/2020,2.11,3.78,-0.57,4.24,-2.23,-3.23,5.51,-0.648,0.92
3400,1/25/2020,2.86,3.81,11.8,2.17,2.02,-2.27,-0.919,1.84,1.66
3600,1/25/2020,2.32,5.54,5.68,4.52,2.55,-3.43,0.674,2.77,2.86
4400,1/25/2020,0.496,15.1,-9.96,-1.59,-2.51,-10.2,-31.3,-1.83,-1.13
900,1/26/2020,0.428,5.21,-3.82,1.57,1.75,2.59,6.49,1.19,0.768
2500,1/26/2020,1.14,1.47,-6.17,0.905,3.21,-4.71,1.4,0.833,-1.89
3400,1/26/2020,0.884,0.591,5.63,0.532,3.32,-1.23,-0.409,1.36,-0.35
3600,1/26/2020,-0.266,0.403,0.829,-0.295,1.31,-3.89,1.35,0.146,-0.951
4400,1/26/2020,0.697,13.1,1.04,2.36,2.37,-8.18,-36.2,0.153,-2.09
900,1/27/2020,-4.66,-1.59,-9.66,-5.9,-8.47,2.24,0.361,-6.52,-5.06
2500,1/27/2020,-5.8,-4.43,-10.2,-9.31,-12.2,-4.88,-1.98,-12,-11.9
3400,1/27/2020,-3.05,-2.59,2.83,-5.21,-4.71,-2.69,-0.681,-4.71,-4.76
3600,1/27/2020,-4.79,-3.97,-2.42,-5.72,-8.86,-3.9,-3.15,-7.81,-6.91
4400,1/27/2020,-2.37,12,5.76,-3.81,-9.19,-2.03,-41,-8.92,-8.59
900,1/28/2020,-8.04,-5.76,-9.22,-7.37,-12.2,0.547,0.109,-8.21,-5.08
2500,1/28/2020,-6.86,-3.12,-9.14,-4.42,-12.4,-11.1,-1.73,-10.4,-8.17
3400,1/28/2020,-5.17,-2.72,-1.28,-6.36,-6.71,-7.46,1.7,-6.4,-6.17
3600,1/28/2020,-5.85,-4.22,-0.485,-5.25,-10.7,-7.56,-3.15,-8.47,-6.38
4400,1/28/2020,-1.28,11.3,-4.35,1.11,-3.83,4.13,3.4,-4.54,-5.55
900,1/29/2020,-6.31,-0.704,-8.29,-4.39,-10.7,2.64,1.04,-7.06,-4.21
2500,1/29/2020,-5.8,-2.73,-6.83,-3.57,-10.4,-17.5,1.17,-8.65,-6.74
3400,1/29/2020,-4.88,-0.775,-1.53,-5.14,-6.6,-7.68,1.64,-5.62,-4.74
3600,1/29/2020,-6,-2.73,-2.96,-4.12,-9.85,-11.6,-4.23,-7.47,-5.2
4400,1/29/2020,-0.916,12.4,37.8,2.63,-1.64,10.3,4.89,-2.2,-3.23
900,1/30/2020,-4.36,1.25,-8.75,-0.542,-9.34,3.29,-5.28,-4.61,-0.784
2500,1/30/2020,-4.24,-1.3,2.28,-1.55,-6.93,-14,-1.8,-5.23,-3.27
3400,1/30/2020,-3.47,1.63,-2.07,-2.84,-5.37,-4.72,-2.31,-4.2,-3.11
3600,1/30/2020,-3.53,-0.141,-1.18,-0.695,-6.82,-8.92,-6.26,-3.79,-0.804
4400,1/30/2020,-2.34,4.47,8.52,12.2,1.82,16.4,40,-2.08,-7.12
900,1/31/2020,-3.53,0.315,0.508,1.61,-8.25,0.0822,-3.04,-3.01,1.28
2500,1/31/2020,-2.86,0.0974,7.04,-0.52,-4.59,-11.7,-1,-3.53,-2.26
3400,1/31/2020,-2.48,2.89,-1.75,-0.946,-3.9,-5.63,-2.4,-2.85,-1.85
3600,1/31/2020,-1.7,0.242,1.22,0.874,-3.85,-4.19,-1.34,-1.36,1.12
4400,1/31/2020,-5.39,-0.691,-5.86,6.11,-3.12,22.6,-1.07,0.176,3.6
900,2/1/2020,-0.431,3.05,6.15,6.47,1.81,0.0176,-6.51,3.95,5.72
2500,2/1/2020,-0.857,1.74,10.8,2.3,-1.98,-3.86,-3.59,-0.135,2.11
3400,2/1/2020,-0.58,4.59,-3.02,4.44,0.947,-6.11,-3.64,2.05,3.09
3600,2/1/2020,-0.653,0.487,4.85,4.16,0.575,-6.17,-2.98,2.37,4.18
4400,2/1/2020,-4.99,0.654,-2.97,9.37,-2.27,28.7,-7.28,4.26,11.8
900,2/2/2020,-0.814,2.6,9.54,7.69,1.85,-4.16,-10.9,3.33,4.6
2500,2/2/2020,-0.753,1.89,10,3.35,-1.49,-2.04,-7.19,1.45,5.13
3400,2/2/2020,-0.803,3.62,-0.702,3.25,-0.633,-7.33,-5.91,1.3,3.2
3600,2/2/2020,-0.935,2.02,6.96,3.78,0.618,-5.41,-8.15,2.17,3.78
4400,2/2/2020,-2.8,-5.86,2.33,4.52,-0.347,34.9,17.3,2.75,6.09
900,2/3/2020,0.331,3.94,16.6,9.44,0.261,-0.524,-9.21,2.73,4.85
2500,2/3/2020,1.07,3.81,12.9,7.23,-1.72,-2.77,-1.77,2.45,7.84
3400,2/3/2020,0.0914,5.07,3.66,4.21,-3.3,-3.45,-4.47,0.14,3.71
3600,2/3/2020,0.679,3.09,9.77,4.68,-0.339,-4.16,-4.15,2.76,6.08
4400,2/3/2020,-2.89,-10,7.15,1.63,-1.85,26.4,9.42,4.7,13.3
900,2/4/2020,0.238,4.14,8.47,10,0.903,1.4,-12.2,1.13,1.37
2500,2/4/2020,1.84,2.18,14.5,2.34,0.957,-1.86,-6.38,2.24,3.97
3400,2/4/2020,0.742,4.67,5.75,4.15,-0.973,1.04,-9.79,2.27,5.64
3600,2/4/2020,1.3,3.81,10.5,2.56,1.77,-5.31,-4.25,3.26,4.9
4400,2/4/2020,-1.89,-8.46,35.9,-2.66,-2.81,17.9,-18.6,-0.663,2.03
900,2/5/2020,0.615,2.46,4.69,6.94,4.55,-2.33,-7.99,0.94,-1.84
2500,2/5/2020,1.53,1.25,14.8,1.34,2.14,1.26,-8.69,2.89,4
3400,2/5/2020,1.14,4.34,7.62,3.16,1.05,0.902,-10,2.78,4.55
3600,2/5/2020,1.74,2.39,17.8,-0.96,3.77,-4.72,-5.11,3.06,2.44
4400,2/5/2020,-6.07,-8.88,14,-11,-0.078,9.45,-3.32,-0.0637,0.4
900,2/6/2020,-0.606,0.282,8.33,3.8,3.99,-5.29,-8.57,0.0223,-3.03
2500,2/6/2020,0.279,-0.946,11.6,-1.45,1.1,-0.644,-9.76,1.26,1.69
3400,2/6/2020,0.635,2.3,9.85,1.25,1.47,0.152,-6.89,2.22,2.99
3600,2/6/2020,0.0502,0.63,15.8,-3.66,2.62,-6.87,-4.18,0.686,-1.13
4400,2/6/2020,-8.96,-8.88,24.9,-16.5,-4.43,0.97,-17.5,-2.79,-0.0456
900,2/7/2020,-0.121,-0.0361,14.3,0.066,0.946,-6.55,-9.63,-2.26,-4.74
2500,2/7/2020,0.522,-2.11,10.5,-2.5,0.725,2.16,-6.44,0.85,1.3
3400,2/7/2020,-0.231,0.199,10.1,-1.36,-0.681,-1.46,-5.14,-0.0681,0.595
3600,2/7/2020,-2.06,-2.65,15.6,-7.45,-1.16,-7.65,-5.86,-2.68,-4.07
4400,2/7/2020,-7.97,-12,62.5,-10.5,-2.96,-7.51,1.09,-8.14,-13.1
900,2/8/2020,-0.816,-1.46,16.7,1.19,-4.61,-3.01,-8.73,-4.31,-4.01
2500,2/8/2020,0.916,-0.66,8.6,-3.14,1.97,0.441,-6.94,-0.92,-4.11
3400,2/8/2020,0.484,0.837,14,-2.01,-0.616,0.535,-2.99,-0.343,0.009
3600,2/8/2020,-1.67,-4.15,14.7,-7.18,-1.14,-4.91,-5.38,-2.49,-3.68
4400,2/8/2020,-8.93,-8.47,73,-6.68,-1.3,-16,12.9,-8.93,-15.8
900,2/9/2020,0.69,-1.17,15.8,2.2,-1.23,0.181,-8.44,-1.72,-2.08
2500,2/9/2020,2.19,-0.501,6.43,-2.9,4.84,-0.483,-2.16,0.0257,-5.27
3400,2/9/2020,1.44,1.81,11.3,-1.74,1.82,0.51,-1.89,1.01,0.337
3600,2/9/2020,-0.512,-4.67,14.3,-5.99,1.54,-4.15,-3.04,-0.765,-2.87
4400,2/9/2020,-9.62,-8.45,63.5,-10.5,1.63,-24.5,-5.39,-9.51,-18.8
900,2/10/2020,-1.52,-2.98,7.86,-0.637,-1.48,1.09,-10.2,-3,-4.13
2500,2/10/2020,-0.297,-3.22,2.04,-6.6,6.51,1.83,-8.93,-0.624,-8.43
3400,2/10/2020,0.234,0.123,9.64,-3.33,4.48,0.0035,-4.67,1.75,-0.734
3600,2/10/2020,-2.89,-6.58,13.1,-7.31,3.39,-5.69,-9.16,-1.1,-5.23
4400,2/10/2020,-11.4,-6.38,72,-13.1,3.83,-23.5,4.98,-12.2,-25.3
900,2/11/2020,-2.41,-4.85,17.2,-1.74,-4.92,-4.35,-10.2,-3.37,-2.13
2500,2/11/2020,-1.61,-2.99,-1.98,-5.47,2.51,1.92,-3.2,-2.41,-7.88
3400,2/11/2020,-0.502,-0.609,7.51,-2.1,1.39,0.01,-2.3,-0.077,-1.43
3600,2/11/2020,-3.82,-7.65,9.18,-6.9,1.06,-4.81,-8.45,-2.24,-5.31
4400,2/11/2020,-14.4,-7.19,51.9,-10.1,1.48,-10.1,27.7,-12.2,-23.4
900,2/12/2020,0.549,-2.99,23.5,4.95,-1.61,1.24,-13.4,2.46,5.78
2500,2/12/2020,-1.07,-0.278,-1.68,-3.04,3.16,2.11,-6.58,-1.98,-7.73
3400,2/12/2020,1.74,0.229,8.69,2.61,3.67,3.65,0.128,3.44,3.28
3600,2/12/2020,-1.65,-5.89,5.27,-1.02,4.01,1.5,-6.75,1.63,-0.609
4400,2/12/2020,-9.56,-6.62,65.2,0.323,1.33,-13.1,45.9,-8.29,-16.4
900,2/13/2020,1.42,-2.1,25.1,7.67,-0.35,2.86,-13.5,4.15,7.81
2500,2/13/2020,0.657,0.593,1.17,-0.683,4.91,1.11,-4.35,-0.0877,-5.74
3400,2/13/2020,1.44,1.13,6.37,2.07,2.4,3.41,-0.321,2.77,3.18
3600,2/13/2020,-1.07,-5.46,6.11,-0.85,4.21,3.24,-4.88,1.99,-0.115
4400,2/13/2020,-8.24,-6.05,38.6,10.7,4.2,-3.48,28.4,-2.9,-9.18
900,2/14/2020,0.855,-0.981,16.5,8.68,0.122,5.46,-13.8,4.54,8.17
2500,2/14/2020,0.475,-0.111,-0.755,0.485,5.3,-7.15,-5.42,0.356,-5.31
3400,2/14/2020,1.65,0.501,5.67,2.83,2.85,5.83,-1.16,3.37,3.92
3600,2/14/2020,-0.173,-4.75,4.17,1.17,5.42,2.98,-3.47,3.09,0.837
4400,2/14/2020,-11.6,-7.9,16.4,0.646,3.88,8.61,45,-3.5,-10.3
900,2/15/2020,0.488,-0.944,14.2,5.97,-0.972,2.85,-15.7,3.02,6.26
2500,2/15/2020,-0.473,-0.716,-0.943,-0.487,3.98,-7.43,-4.93,0.423,-3.61
3400,2/15/2020,0.399,-0.759,1,0.68,0.694,4.37,-2.36,1.56,2.45
3600,2/15/2020,-0.718,-2.93,4.56,-0.596,2.74,1.99,-2.23,1.29,-0.0978
4400,2/15/2020,-10.2,-10.5,8.88,-4.85,2.22,9.78,29.7,-0.849,-3.79
900,2/16/2020,0.132,-0.818,13.8,4.77,-3.36,3.57,-12.8,1.75,5.84
2500,2/16/2020,-0.671,-0.159,3.46,-0.191,2.55,-6.96,-3.96,-0.485,-3.85
3400,2/16/2020,0.298,0.239,0.224,1.46,-0.399,4,-1.29,1.15,2.71
3600,2/16/2020,-0.819,-1.52,6.88,-0.169,0.784,2.24,-1.61,0.31,-0.137
4400,2/16/2020,-9.99,-2.39,12.4,-3.79,-1.58,11.9,41,-0.861,-0.117
900,2/17/2020,3.07,-0.988,16.3,8.95,5.51,11.3,-14.3,7.1,8.3
2500,2/17/2020,2.28,-2.48,4.45,6.57,9.02,-8.56,-6.58,5.67,2.04
3400,2/17/2020,0.987,-0.968,-0.437,2.25,2.71,1.79,-3.37,2.41,2.25
3600,2/17/2020,1.65,-0.752,6.2,1.54,4.48,2.44,-1.1,3.09,1.77
4400,2/17/2020,1.38,3.7,1.63,6.27,-0.905,15.1,35.4,8.27,18.9
900,2/18/2020,6.73,3.65,13.6,9.61,9.75,16,-14.8,7.96,6.62
2500,2/18/2020,2.29,-3.07,8.62,2.03,6.36,2.55,-7.57,2.23,-2.24
3400,2/18/2020,1.11,-3.21,-1.23,-2.54,1.34,4.5,-3.08,-0.729,-2.52
3600,2/18/2020,1.61,-2,7.8,-0.417,2.94,4.52,-1.28,0.439,-1.92
4400,2/18/2020,-0.58,-3.86,12.8,2.33,-4.17,26.2,6.37,5.96,17.9
900,2/19/2020,-2.08,-4.63,7.26,2.26,-3.19,-2.01,-16.8,-0.219,2.15
2500,2/19/2020,0.0363,-1.53,14.7,0.0596,0.233,-4.81,-3.91,-0.372,-0.942
3400,2/19/2020,-1.59,-1.54,-2.68,-3.44,-3.21,-0.594,-5.92,-2.82,-2.35
3600,2/19/2020,-1.27,-2.4,8.95,-2,-2.03,-5.61,-3.7,-2.17,-2.33
4400,2/19/2020,-8.58,-1.27,-12.5,-8.46,-10.3,41.6,-20.1,-8.31,-6.21
900,2/20/2020,-2.1,-5.08,4.07,1.64,-4.86,0.114,-15,-1.78,0.71
2500,2/20/2020,-0.578,-0.368,15.3,1.5,-1.28,-1.8,-2.67,-1.2,-0.968
3400,2/20/2020,-0.255,-0.0245,-0.746,-0.596,-1.57,2.12,-7.47,-0.541,0.567
3600,2/20/2020,-1.7,-2.01,6.88,-1.02,-2.55,-3.74,-4.03,-1.63,-0.782
4400,2/20/2020,-5.51,2.84,0.281,-9.7,-12.6,17.8,14.2,-9.1,-5.25
900,2/21/2020,-1.56,-4.62,-0.001,2.32,-3.37,-0.793,-12.8,-0.458,1.83
2500,2/21/2020,-0.776,0.23,9.53,2.98,-1.35,6.87,-4.85,0.115,1.94
3400,2/21/2020,-0.806,1.68,1.64,-1.5,-2.17,-0.501,-10.2,-1.34,-0.398
3600,2/21/2020,-1.59,-0.615,4.17,-1.05,-1.83,-6.89,-4.93,-0.373,0.953
4400,2/21/2020,-0.74,8.41,-3.96,-11.7,-8.72,22.9,1.35,-5.71,-2.24
900,2/22/2020,-0.666,-4.49,-1.8,2.18,-0.757,-0.595,-9.39,0.393,1.28
2500,2/22/2020,0.0996,-1.04,4.53,4,-1.43,6.01,-3.9,2.06,6.18
3400,2/22/2020,-0.654,2.69,3.48,-0.92,-1.64,-1.23,-12,-1.1,-0.427
3600,2/22/2020,-2.32,-3.44,1.53,-1.98,-1.98,-6.16,-3.53,-1.26,-0.604
4400,2/22/2020,1.38,11.8,0.461,-19,-10.3,20.1,-12.4,-10.6,-10.7
900,2/23/2020,-0.345,-4.01,-1.68,2.02,-0.284,-1.41,-11.8,0.137,0.462
2500,2/23/2020,0.524,-1.44,2.99,6.63,-0.77,5.76,-6.57,3.42,8.37
3400,2/23/2020,-1,1.93,3.86,-1.44,-1.6,-1.25,-12.4,-1.45,-1.16
3600,2/23/2020,-2.41,-4.3,-0.642,-2.68,-1.57,-7.59,-2.62,-0.851,-0.206
4400,2/23/2020,6.28,13.5,-13.1,-15.6,-10,23.8,-8.11,-8.27,-6.45
900,2/24/2020,-0.391,-1.86,-1.22,3.1,-0.351,-4.7,-10.1,0.638,1.42
2500,2/24/2020,1.73,1.6,5.86,8.78,-2.02,2.79,-3.42,4.41,12.1
3400,2/24/2020,-0.988,4.98,2.89,-1.15,-2.93,-2.82,-13.9,-1.52,-0.034
3600,2/24/2020,-2.23,-2.26,0.364,-2.18,-2.84,-6.68,-3.11,-1.01,0.696
4400,2/24/2020,5.46,10.2,-25.8,-15.2,-7.99,23.3,-7.33,-6.19,-4.09
900,2/25/2020,-2.25,-5.66,-3.59,2.5,-0.168,-3.49,-12.1,-0.701,-1.2
2500,2/25/2020,1.54,-2.18,-0.622,9.7,0.364,4.16,-1.92,5.16,10.9
3400,2/25/2020,-1.46,3.62,2.31,-1.85,-1.69,-2.31,-12.8,-1.59,-1.37
3600,2/25/2020,-2.72,-4.1,0.361,-2.92,-0.213,-5.58,-4.22,-0.286,-0.357
4400,2/25/2020,8.86,1.85,-31.9,-14.2,-6.15,-2.04,4.09,-2.44,1.58
900,2/26/2020,0.354,1.28,-5.74,4.26,2.46,-2.78,-10.9,1.05,-0.107
2500,2/26/2020,1.49,-1.95,-5.47,10.9,4.32,2.94,-6.74,6.96,10.1
3400,2/26/2020,0.0384,4.3,2.19,-0.567,1.06,-0.931,-11.1,0.593,0.286
3600,2/26/2020,-2.63,-2.86,1.88,-2.47,0.591,-4.86,-4.95,0.409,0.227
4400,2/26/2020,4.59,0.168,-30.9,-8.97,-5.56,-23.1,-7.55,-1.54,2.98
900,2/27/2020,0.0642,0.671,-9.96,6.34,3.04,-3.98,-14.4,2.42,1.9
2500,2/27/2020,0.63,-2.09,-10.1,10.3,4.58,3.15,-7.38,6.97,9.8
3400,2/27/2020,-1.14,1.9,-1.82,-2.07,0.273,-3.57,-10.2,-0.841,-1.72
3600,2/27/2020,-3.11,-4.51,0.887,-1.07,0.652,-7.92,-4.84,-0.137,-0.88
4400,2/27/2020,4.57,-3.9,-41.8,-10.5,-0.525,-15.3,-25.4,-1.82,-2.47
900,2/28/2020,-1.57,-0.646,-12,7.44,3.72,-4.99,-20.4,2.15,0.961
2500,2/28/2020,0.699,-1.72,-7.68,11.3,6.24,3.35,-9.67,7.11,8.12
3400,2/28/2020,-1.44,1.21,-7.67,-0.569,0.595,-3.45,-9.27,-0.0062,-0.433
3600,2/28/2020,-4.62,-4.84,1.15,-0.224,-0.605,-7.2,-8.89,-1.07,-1.52
4400,2/28/2020,1.54,-7.27,-25.7,-3.55,-1.46,-7.44,-14.3,-3.09,-4.66
900,2/29/2020,-0.868,-1.27,-7.92,10.1,3.98,-4.53,-21.3,3.22,2.66
2500,2/29/2020,1.33,-1.77,-3.67,12.3,7.57,4.4,-8.47,7.42,7.21
3400,2/29/2020,0.159,0.341,-2.9,2.75,1.2,-1.86,-6.55,1.84,2.57
3600,2/29/2020,-3.22,-4.5,4.06,2.19,1.04,-5.46,-9.71,0.531,0.0481
4400,2/29/2020,-1.52,-13.6,-25.8,1.18,-0.948,-10.5,-18.3,-0.656,-0.136
900,3/1/2020,-2.25,-0.412,-12.3,11.6,2.41,-3.46,-24.4,3.2,3.81
2500,3/1/2020,-1.59,-0.336,0.0377,11.3,2.39,0.764,-12.2,2.93,3.56
3400,3/1/2020,-1.13,-0.247,-11.7,5.09,2.34,-3.26,-8.72,3.26,4.24
3600,3/1/2020,-4.73,-2.68,-3.98,4.34,0.938,-9.45,-14.9,1.39,1.83
4400,3/1/2020,-9.42,-25.8,-26,1.91,0.338,-11.1,-19.1,-0.0946,-0.561
900,3/2/2020,1.48,0.877,-9.8,16,8.5,-0.338,-21.7,9.18,9.7
2500,3/2/2020,0.232,1.03,4.16,17.3,5.97,0.169,-11,6.23,6.59
3400,3/2/2020,1.89,1.48,-7.02,7.17,5.49,0.317,-8.57,6.04,6.69
3600,3/2/2020,-2.62,-2.37,1.16,6.81,3.4,-5.17,-14.8,3.32,3.3
4400,3/2/2020,-5.7,-17,-15.9,18.2,9.17,-17.3,-31.4,7.64,5.99
900,3/3/2020,1.24,0.592,-9.18,13.5,5.66,1.03,-21.6,6.51,7.14
2500,3/3/2020,-0.16,2.94,2.3,14.5,5.78,-1.79,-16,5.07,4.29
3400,3/3/2020,2.47,1.98,-6.71,8.82,5.08,0.572,-5.67,6.49,7.96
3600,3/3/2020,-1.73,-2.16,1.18,7.27,3.07,-3.75,-12.5,3.24,3.51
4400,3/3/2020,-12.8,-36.8,-1.52,22.4,7.93,-6.29,-40.5,7.04,6.11
900,3/4/2020,1.52,-0.836,-7.55,15.1,8.01,8.59,-26.9,8.47,8.79
2500,3/4/2020,1.04,2.3,1.06,14.9,7.89,-2.83,-14.9,7.56,7.28
3400,3/4/2020,1.89,1.2,-4.74,10.2,6.43,-1.19,-6.92,7.39,8.47
3600,3/4/2020,-2.21,-3.21,-0.0567,7.73,3.47,-4.84,-15.7,3.98,4.66
4400,3/4/2020,-10.1,-27.3,-3.82,19.4,12,15.6,-48,7.43,2.19
900,3/5/2020,0.514,-3.53,-4.47,12.9,7.11,2.34,-29.4,7.99,8.65
2500,3/5/2020,1.68,2.84,7.19,14.3,7.76,-2.8,-12.7,8.04,8.55
3400,3/5/2020,1.78,1.01,-3.84,11.7,8.46,1.14,-10.3,9.1,9.91
3600,3/5/2020,-1.54,-2.92,-1.02,7.06,6.21,-4.93,-16.5,5.42,4.89
4400,3/5/2020,-9.66,-23.8,-9,15.2,13.4,26.8,-32.8,8.04,2.42
900,3/6/2020,0.23,-3.96,-4.29,10.8,8.45,1.83,-28.4,8.63,8.74
2500,3/6/2020,1.19,1.75,4.9,15.3,9.39,-9.82,-16.6,9.02,8.76
3400,3/6/2020,1.26,-0.746,-3.16,11.9,10.1,0.749,-12,9.98,10.1
3600,3/6/2020,-2.18,-3.56,-3.23,4.39,7.62,-4.6,-18.6,5.28,3.31
4400,3/6/2020,-8.83,-17,-15.3,22.6,8.43,3.21,-43.8,7.24,6.71
900,3/7/2020,0.947,-4.31,-4.53,12,8.13,2.16,-30.3,10.9,13.1
2500,3/7/2020,0.648,1.04,2.69,12.6,8.88,-16,-18.6,7.92,7
3400,3/7/2020,2.35,-0.873,-2.18,11.6,13.7,3.28,-12.8,12.1,10.7
3600,3/7/2020,-0.633,-4.05,-3.75,3.5,10.5,-3.82,-17,6.88,3.77
4400,3/7/2020,-4.09,-10.8,-17.4,16.2,12.6,33.9,-40.1,8.6,5.16
